Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Vehicle_driver_relation,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity
friday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,one way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,severe injury
thursday,18-30,male,Basic Education,employee,Intermediate,Special Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
thursday,31-50,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Reversing,3,Not Involved,Priority Violation,slight injury
thursday,31-50,male,Higher Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Human Collision,2,2,Reversing,3,Not Involved,Speed Violation,slight injury
tuesday,18-30,male,Higher Education,employee,New Driver,Public Transport,owner,unknown,no defect,Commercial/Workplace,one way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Substance Abuse,slight injury
tuesday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Public/Institutional,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,2,Other,3,Not Involved,Lane Violation,slight injury
tuesday,18-30,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,one way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Negligence,slight injury
tuesday,under 18,male,Higher Education,employee,New Driver,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
tuesday,31-50,male,Higher Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
tuesday,over 51,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Standing in Road,Negligence,slight injury
tuesday,18-30,female,Higher Education,employee,Intermediate,Private Vehicle,owner,2-5yrs,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
wednesday,under 18,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,severe injury
wednesday,under 18,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Human Collision,2,1,Moving Forward,3,Not Involved,Speed Violation,severe injury
thursday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,severe injury
thursday,31-50,male,Basic Education,employee,New Driver,Public Transport,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Other,na,Not Involved,Substance Abuse,severe injury
monday,over 51,male,Unknown,employee,New Driver,Public Transport,organization,unknown,no defect,Leisure/Public Space,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,3,2,Moving Forward,3,Not Involved,Negligence,severe injury
monday,18-30,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,1-2yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Vehicle Collision,3,2,Moving Forward,na,Not Involved,Vehicle Loss of Control,severe injury
monday,31-50,male,Higher Education,employee,Intermediate,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,wet or damp,daylight,Rain,Object Collision,3,2,Moving Forward,3,Not Involved,Substance Abuse,severe injury
wednesday,18-30,male,Basic Education,owner,New Driver,Heavy Vehicle,owner,5-10yrs,no defect,Public/Institutional,undivided two way,Steep/Sloped Terrain,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Lane Violation,severe injury
friday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,5-10yrs,no defect,Urban/Residential,undivided two way,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
friday,31-50,male,Basic Education,employee,Intermediate,Private Vehicle,owner,unknown,no defect,Other,other,Straight Road,crossing,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Turning,3,Other,Negligence,slight injury
tuesday,31-50,male,Basic Education,owner,Experienced,Private Vehicle,owner,5-10yrs,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
tuesday,18-30,male,Basic Education,employee,Veteran,Heavy Vehicle,owner,unknown,no defect,Other,two-way (divided with solid lines road marking),Straight Road,y shape,asphalt roads,wet or damp,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
thursday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Public/Institutional,two-way (divided with solid lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights unlit,Clear,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Negligence,slight injury
thursday,31-50,male,Higher Education,employee,Experienced,Private Vehicle,governmental,unknown,no defect,Other,two-way (divided with solid lines road marking),Straight Road,no junction,asphalt roads,dry,darkness - lights unlit,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
friday,over 51,male,Basic Education,employee,Experienced,Private Vehicle,owner,unknown,no defect,Public/Institutional,two-way (divided with solid lines road marking),Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Clear,Object Collision,2,1,Vehicle Exit/Loss of Control,3,Crossing,Negligence,slight injury
friday,31-50,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Public/Institutional,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Clear,Vehicle Collision,2,1,Moving Forward,3,Crossing,Lane Violation,slight injury
sunday,18-30,male,Basic Education,employee,New Driver,Other,owner,above 10yr,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
sunday,18-30,male,Basic Education,employee,Intermediate,Special Vehicle,governmental,5-10yrs,no defect,Other,undivided two way,Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,2,Reversing,na,Not Involved,Priority Violation,slight injury
saturday,under 18,male,Basic Education,employee,New Driver,Heavy Vehicle,owner,5-10yrs,no defect,Public/Institutional,other,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Crossing,Lane Violation,severe injury
saturday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Rollover/Fall,2,1,Reversing,3,Not Involved,Lane Violation,severe injury
thursday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,1-2yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,no junction,asphalt roads,wet or damp,darkness - lights lit,Clear,Vehicle Collision,1,1,Moving Forward,na,Not Involved,Negligence,severe injury
thursday,over 51,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,above 10yr,no defect,Commercial/Workplace,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,3,Not Involved,Lane Violation,slight injury
thursday,over 51,male,Basic Education,employee,Veteran,Two Wheeler,owner,above 10yr,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,2,2,Moving Forward,3,Crossing,Lane Violation,slight injury
thursday,over 51,male,Basic Education,employee,Intermediate,Private Vehicle,owner,above 10yr,no defect,Other,one way,Steep/Sloped Terrain,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,2,Moving Forward,2,Not Involved,Substance Abuse,slight injury
saturday,18-30,male,Basic Education,owner,Veteran,Private Vehicle,owner,above 10yr,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,crossing,gravel roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,3,Turning,3,Not Involved,Negligence,severe injury
saturday,31-50,male,Basic Education,employee,Intermediate,Private Vehicle,owner,5-10yrs,no defect,Urban/Residential,undivided two way,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,3,Moving Forward,na,Not Involved,Negligence,severe injury
saturday,31-50,male,Basic Education,other,Experienced,Private Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,2,3,Moving Forward,3,Not Involved,Priority Violation,severe injury
saturday,31-50,male,Basic Education,employee,Experienced,Private Vehicle,owner,1-2yr,no defect,Other,other,Straight Road,crossing,asphalt roads,dry,darkness - lights lit,Clear,Object Collision,2,3,Moving Forward,na,Not Involved,Priority Violation,severe injury
wednesday,31-50,male,Basic Education,employee,Experienced,Public Transport,owner,5-10yrs,no defect,Other,undivided two way,Straight Road,no junction,asphalt roads,dry,daylight,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
saturday,18-30,male,Basic Education,employee,Experienced,Public Transport,owner,5-10yrs,no defect,Other,one way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,1,Moving Forward,na,Not Involved,Lane Violation,slight injury
monday,31-50,male,Basic Education,employee,Veteran,Private Vehicle,owner,1-2yr,no defect,Public/Institutional,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
monday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,2-5yrs,no defect,Urban/Residential,undivided two way,Straight Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Stopped,3,Not Involved,Negligence,slight injury
wednesday,31-50,male,Basic Education,employee,Experienced,Two Wheeler,owner,5-10yrs,no defect,Urban/Residential,one way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Substance Abuse,slight injury
wednesday,31-50,male,Basic Education,employee,New Driver,Private Vehicle,owner,5-10yrs,no defect,Urban/Residential,undivided two way,Straight Road,no junction,asphalt roads,dry,darkness - lights lit,Clear,Human Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Lane Violation,slight injury
friday,31-50,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,1-2yr,no defect,Other,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads with some distress,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Reversing,3,Not Involved,Priority Violation,slight injury
friday,over 51,male,Basic Education,employee,Veteran,Private Vehicle,owner,1-2yr,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,2,1,Reversing,3,Not Involved,Lane Violation,slight injury
tuesday,31-50,male,Higher Education,owner,Intermediate,Public Transport,owner,2-5yrs,no defect,Other,other,Straight Road,y shape,asphalt roads,dry,darkness - lights lit,Clear,Vehicle Collision,1,1,Moving Forward,3,Not Involved,Lane Violation,slight injury
wednesday,31-50,male,Basic Education,employee,New Driver,Special Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,other,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Vehicle Exit/Loss of Control,na,Not Involved,Negligence,slight injury
wednesday,18-30,male,Basic Education,employee,New Driver,Private Vehicle,owner,unknown,no defect,Urban/Residential,two-way (divided with broken lines road marking),Straight Road,other,asphalt roads,wet or damp,darkness - lights lit,Rain,Vehicle Collision,2,1,Moving Forward,na,Not Involved,Priority Violation,slight injury
thursday,31-50,male,Higher Education,owner,Intermediate,Public Transport,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Curved Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Moving Forward,3,Not Involved,Negligence,slight injury
thursday,31-50,male,Basic Education,employee,Veteran,Private Vehicle,owner,unknown,no defect,Commercial/Workplace,double carriageway (median),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Object Collision,2,1,Turning,na,Not Involved,Negligence,slight injury
monday,over 51,male,Basic Education,owner,Intermediate,Heavy Vehicle,organization,unknown,no defect,Other,double carriageway (median),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,2,Not Involved,Lane Violation,slight injury
monday,18-30,male,Basic Education,employee,Experienced,Heavy Vehicle,owner,unknown,no defect,Commercial/Workplace,two-way (divided with broken lines road marking),Straight Road,y shape,asphalt roads,dry,daylight,Clear,Vehicle Collision,2,1,Moving Forward,3,Not Involved,Priority Violation,slight injury
